Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Left Lat Fis-ant-Horizont Area From Qdec,,,,,,,,,lh_Lat_Fis-ant-Horizont_area,,,,lh_Lat_Fis-ant-Horizont_area,,,lh_Lat_Fis-ant-Horizont_area,(Lat_Fis-ant-Horizont)SurfArea,,,lh_Lat_Fis-ant-Horizont_area,,lh_Lat_Fis-ant-Horizont_area,,,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Horizont_area,
Left Lat Fis-ant-Vertical Area From Qdec,,,,,,,,,lh_Lat_Fis-ant-Vertical_area,,,,lh_Lat_Fis-ant-Vertical_area,,,lh_Lat_Fis-ant-Vertical_area,(Lat_Fis-ant-Vertical)SurfArea,,,lh_Lat_Fis-ant-Vertical_area,,lh_Lat_Fis-ant-Vertical_area,,,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-ant-Vertical_area,
Left Lat Fis-post Area From Qdec,,,,,,,,,lh_Lat_Fis-post_area,,,,lh_Lat_Fis-post_area,,,lh_Lat_Fis-post_area,(Lat_Fis-post)SurfArea,,,lh_Lat_Fis-post_area,,lh_Lat_Fis-post_area,,,lh_Lat_Fis-post_area,lh_Lat_Fis-post_area,
Left Pole Occipital Area From Qdec,,,,,,,,,lh_Pole_occipital_area,,,,lh_Pole_occipital_area,,,lh_Pole_occipital_area,(Pole_occipital)SurfArea,,,lh_Pole_occipital_area,,lh_Pole_occipital_area,,,lh_Pole_occipital_area,lh_Pole_occipital_area,
Left Pole Temporal Area From Qdec,,,,,,,,,lh_Pole_temporal_area,,,,lh_Pole_temporal_area,,,lh_Pole_temporal_area,(Pole_temporal)SurfArea,,,lh_Pole_temporal_area,,lh_Pole_temporal_area,,,lh_Pole_temporal_area,lh_Pole_temporal_area,
Left Sulcus Calcarine Area From Qdec,,,,,,,,,lh_S_calcarine_area,,,,lh_S_calcarine_area,,,lh_S_calcarine_area,(S_calcarine)SurfArea,,,lh_S_calcarine_area,,lh_S_calcarine_area,,,lh_S_calcarine_area,lh_S_calcarine_area,
Left Sulcus Central Area From Qdec,,,,,,,,,lh_S_central_area,,,,lh_S_central_area,,,lh_S_central_area,(S_central)SurfArea,,,lh_S_central_area,,lh_S_central_area,,,lh_S_central_area,lh_S_central_area,
Left Sulcus Cingul-Marginalis Area From Qdec,,,,,,,,,lh_S_cingul-Marginalis_area,,,,lh_S_cingul-Marginalis_area,,,lh_S_cingul-Marginalis_area,(S_cingul-Marginalis)SurfArea,,,lh_S_cingul-Marginalis_area,,lh_S_cingul-Marginalis_area,,,lh_S_cingul-Marginalis_area,lh_S_cingul-Marginalis_area,
Left Sulcus Circular Insula Anterior Area From Qdec,,,,,,,,,lh_S_circular_insula_ant_area,,,,lh_S_circular_insula_ant_area,,,lh_S_circular_insula_ant_area,(S_circular_insula_ant)SurfArea,,,lh_S_circular_insula_ant_area,,lh_S_circular_insula_ant_area,,,lh_S_circular_insula_ant_area,lh_S_circular_insula_ant_area,
Left Sulcus Circular Insula Inferior Area From Qdec,,,,,,,,,lh_S_circular_insula_inf_area,,,,lh_S_circular_insula_inf_area,,,lh_S_circular_insula_inf_area,(S_circular_insula_inf)SurfArea,,,lh_S_circular_insula_inf_area,,lh_S_circular_insula_inf_area,,,lh_S_circular_insula_inf_area,lh_S_circular_insula_inf_area,
