Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
APOE,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,40773017.0,APOEGN,,"APGEN1, APGEN2",Demographic.ApoE genotype,APOE,APOE,,APOE,"APGEN1, APGEN2",APOE,"APOE_Allele1, APOE_Allele2",apoe_result,APOE,APOE,NACCAPOE,apoe,APOE,APOE,APOE,apoe_genotype,,APOE,APOE,"APOE1, APOE2"
APOE Allele 1,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,40773017.0,APOEGN,,APGEN1,"Demographic.E3 allele, Demographic.E2 allele, Demographic.E4 allele",APOE,APOE,,APOE,APGEN1,APOE,APOE_Allele1,apoe_result,APOE,APOE,NACCAPOE,apoe,APOE,APOE,APOE,apoe_genotype,,APOE,APOE,APOE1
APOE Allele 2,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,40773017.0,APOEGN,,APGEN2,"Demographic.E4 allele, Demographic.E3 allele, Demographic.E2 allele",APOE,APOE,,APOE,APGEN2,APOE,APOE_Allele2,apoe_result,APOE,APOE,NACCAPOE,apoe,APOE,APOE,APOE,apoe_genotype,,APOE,APOE,APOE2
APOE e4,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",NCIT:C105362,36307729.0,,,APOE4,,,ApoE4,,APOE,,,APOEdich,,,,NACCNE4S,apoe,,,,,,,,"APOE1, APOE2"
Left Putamen Volume,,FMA:72829,,LeftPutamen,,ST53SV,,Left-Putamen,Left-Putamen,,,ST53SV,Left-Putamen,,llputv,Left-Putamen,(Left-Putamen)Volume_mm3,,,Left-Putamen,,Left-Putamen,,Left_Putamen,Left-Putamen,Left-Putamen,
Left Pallidum Volume,,-,,LeftPallidum,,ST42SV,,Left-Pallidum,Left-Pallidum,,,ST42SV,Left-Pallidum,,llpalv,Left-Pallidum,(Left-Pallidum)Volume_mm3,,,Left-Pallidum,,Left-Pallidum,,Left_Pallidum,Left-Pallidum,Left-Pallidum,
Left Amygdala Volume,,-,,LeftAmygdala,,ST12SV,,Left-Amygdala,Left-Amygdala,,,ST12SV,Left-Amygdala,,llamyg,Left-Amygdala,(Left-Amygdala)Volume_mm3,,,Left-Amygdala,,Left-Amygdala,,Left_Amygdala,Left-Amygdala,Left-Amygdala,
Left Accumbens Area Volume,,FMA:72837,,,,ST11SV,,Left-Accumbens-area,Left-Accumbens-area,,,ST11SV,Left-Accumbens-area,,llaccu,Left-Accumbens-area,(Left-Accumbens-area)Volume_mm3,,,Left-Accumbens-area,,Left-Accumbens-area,,Left_Accumbens_area,Left-Accumbens-area,Left-Accumbens-area,
Right Caudate Volume,,FMA:72826,,RightCaudate,,ST75SV,,Right-Caudate,Right-Caudate,,,ST75SV,Right-Caudate,,lrcv,Right-Caudate,(Right-Caudate)Volume_mm3,,,Right-Caudate,,Right-Caudate,,Right_Caudate,Right-Caudate,Right-Caudate,
Right Putamen Volume,,FMA:72828,,RightPutamen,,ST112SV,,Right-Putamen,Right-Putamen,,,ST112SV,Right-Putamen,,lrputv,Right-Putamen,(Right-Putamen)Volume_mm3,,,Right-Putamen,,Right-Putamen,,Right_Putamen,Right-Putamen,Right-Putamen,
Right Pallidum Volume,,-,,RightPallidum,,ST101SV,,Right-Pallidum,Right-Pallidum,,,ST101SV,Right-Pallidum,,lrpalv,Right-Pallidum,(Right-Pallidum)Volume_mm3,,,Right-Pallidum,,Right-Pallidum,,Right_Pallidum,Right-Pallidum,Right-Pallidum,
Right Amygdala Volume,,FMA:72832,,RightAmygdala,,ST71SV,,Right-Amygdala,Right-Amygdala,,,ST71SV,Right-Amygdala,,lramyg,Right-Amygdala,(Right-Amygdala)Volume_mm3,,,Right-Amygdala,,Right-Amygdala,,Right_Amygdala,Right-Amygdala,Right-Amygdala,
Right Accumbens Area Volume,,FMA:72836,,,,ST70SV,,Right-Accumbens-area,Right-Accumbens-area,,,ST70SV,Right-Accumbens-area,,lraccu,Right-Accumbens-area,(Right-Accumbens-area)Volume_mm3,,,Right-Accumbens-area,,Right-Accumbens-area,,Right_Accumbens_area,Right-Accumbens-area,Right-Accumbens-area,
Right Temporal Pole Gray Matter Volume,,EFO:0010334,,RightTemporalpole,,ST119CV,,,rh_temporalpole_volume,,,ST119CV,rh_temporalpole_volume,,lrtpv,rh_temporalpole_volume,rh_(temporalpole)GrayVol,,,rh_temporalpole_volume,,rh_temporalpole_volume,,,rh_temporalpole_volume,rh_temporalpole_volume,
Left Frontal Pole Gray Matter Volume,,EFO:0010304,,,,ST25CV,,,lh_frontalpole_volume,,,ST25CV,lh_frontalpole_volume,,llfpv,lh_frontalpole_volume,lh_(frontalpole)GrayVol,,,lh_frontalpole_volume,,lh_frontalpole_volume,,,lh_frontalpole_volume,lh_frontalpole_volume,
Left Temporal Pole Gray Matter Volume,,EFO:0010334,,LeftTemporalpole,,ST60CV,,,,,,ST60CV,,,,,lh_(temporalpole)GrayVol,,,,,,,,,,
Left Pole Occipital Volume From Qdec,,,,,,,,,lh_Pole_occipital_volume,,,,lh_Pole_occipital_volume,,,lh_Pole_occipital_volume,(Pole_occipital)GrayVol,,,lh_Pole_occipital_volume,,lh_Pole_occipital_volume,,,lh_Pole_occipital_volume,lh_Pole_occipital_volume,
Left Pole Temporal Volume From Qdec,,,,,,,,,lh_Pole_temporal_volume,,,,lh_Pole_temporal_volume,,,lh_Pole_temporal_volume,(Pole_temporal)GrayVol,,,lh_Pole_temporal_volume,,lh_Pole_temporal_volume,,,lh_Pole_temporal_volume,lh_Pole_temporal_volume,
Left Temporalpole Volume From Qdec aparc,,,,,,,,,lh_temporalpole_volume,,,,lh_temporalpole_volume,,lltpv,lh_temporalpole_volume,lh_(temporalpole)GrayVol,,,lh_temporalpole_volume,,lh_temporalpole_volume,,,lh_temporalpole_volume,lh_temporalpole_volume,
Right Pole Occipital Volume From Qdec,,,,,,,,,rh_Pole_occipital_volume,,,,rh_Pole_occipital_volume,,,rh_Pole_occipital_volume,(Pole_occipital)GrayVol,,,rh_Pole_occipital_volume,,rh_Pole_occipital_volume,,,rh_Pole_occipital_volume,rh_Pole_occipital_volume,
Right Pole Temporal Volume From Qdec,,,,,,,,,rh_Pole_temporal_volume,,,,rh_Pole_temporal_volume,,,rh_Pole_temporal_volume,(Pole_temporal)GrayVol,,,rh_Pole_temporal_volume,,rh_Pole_temporal_volume,,,rh_Pole_temporal_volume,rh_Pole_temporal_volume,
Right Cerebellum Gray Matter Volume,,NCIT:C12445,,RightCerebellarGrayMatter,,ST76SV,,Right-Cerebellum-Cortex,Right-Cerebellum-Cortex,,,ST76SV,Right-Cerebellum-Cortex,,lrcbev,Right-Cerebellum-Cortex,(Right-Cerebellum-Cortex)Volume_mm3,,,Right-Cerebellum-Cortex,,Right-Cerebellum-Cortex,,Right_Cerebellum_Cortex,Right-Cerebellum-Cortex,Right-Cerebellum-Cortex,
Right Cerebellum White Matter Volume,,NCIT:C12445,,RightCerebellarWhiteMatter,,ST77SV,,Right-Cerebellum-White-Matter,Right-Cerebellum-White-Matter,,,ST77SV,Right-Cerebellum-White-Matter,,lrcbwmv,Right-Cerebellum-White-Matter,(Right-Cerebellum-White-Matter)Volume_mm3,,,Right-Cerebellum-White-Matter,,Right-Cerebellum-White-Matter,,Right_Cerebellum_White_Matter,Right-Cerebellum-White-Matter,Right-Cerebellum-White-Matter,
Diagnosis,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.",NCIT:C15220,4234469.0,,,DX,Demographic.AD/MCI/H/O at presentation,Diagnosis,Diagnosis,A106Diagnostic category,"ADDX, MCIDX",DXCHANGE,Diagnosis,Diagnosis,dementia_diagnosed,Diagnosis,DXCURREN,NACCETPR,dementiabroadcategory,Diagnosis,probable_MCI,Diagnosis,dcfdx,diagnosis,Diagnosis,Diagnosis,BCPREDX
Clinical Dementia Rating (CDR),"A standardized rating scale developed by John C. Morris in 1997 to evaluate the severity of an individual's cognitive impairment. This instrument contains 6 areas which include memory, orientation, judgment and problem solving, community affairs, home and hobbies, and personal care. Each item is rated on a scale from 0 to 3 with 0 being none and 3 being severe.",NCIT:C102114,36714811.0,CDGLOBAL,,CDGLOBAL,Neuropsych.CDR score,CDR_Total,CDR_TOT,A105CDR,CDRTOT,CDGLOBAL,,CDR_Global,cdr_global_score,CDR_TOT,CDGLOBAL,CDRGLOB,cdrglobal,CDR_TOT,CDR_total_score,CDR_TOT,,cdrtotal,CDR_TOT,CDR_TOT,CDGLOBAL
Clinical Dementia Rating Scale Sum of Boxes (CDRSB),Clinical Dementia Rating (CDR) Sum of Boxes.,NCIT:C113880,,CDSOB,,CDRSB,Neuropsych.CDR Sum of Boxes,CDR_SOB,,,,CDSOB,,,cdr_sum_of_box,,CDR-SOB,CDRSUM,cdrsum,,,,,,,,CDRSUM
Mini-Mental State Examination (MMSE),Mini-Mental State Examination (MMSE) Total score.,NCIT:C100586,40491929.0,MMSCORE,,MMSE,Neuropsych.MMSE,MMSE,MMSE_TOT,,MMSETOT,MMSCORE,MMSE_TOT,MMSE,mmse_total,MMSE_TOT,MMSCORE,NACCMMSE,minimentalstate,MMSE_TOT,,MMSE_TOT,cts_mmse30,,MMSE_TOT,MMSE_TOT,MMSCORE
Montreal Cognitive Assessment (MoCA),"A standardized rating scale developed by Ziad Nasreddine in 1996 to screen for mild cognitive dysfunction and impairment. This instrument assesses the following cognitive domains: attention and concentration, executive functions, memory, language, visuoconstructional skills, conceptual thinking, calculations, and orientation.",NCIT:C123667,36684973.0,,,MOCA,,MOCA,,,,No total score.,,,,,,MOCATOTS,,,MOCA_total_score,,,mocatotal,,,
Geriatric Depression Scale (GDS),Geriatric Depression Scale Short Form total score.,NCIT:C158155,3051694.0,GDTOTAL,,GDTOTAL,Demographic.GDS,Geriatric_Depression,,,,GDTOTAL,,GDS15,gds_total,,GDTOTAL,NACCGDS,,,,GDS,,,,,GDTOTAL
Alzheimer's Disease Assessment Scale 11-item (ADAS11),"Alzheimer's Disease Assessment Scale-Cognitive CDISC Version (ADAS-Cog CDISC Version) Word recognition task for word 11 Trials 1, 2, 3.",NCIT:C100261,37017975.0,,,ADAS11,,ADAS_COG,,,ADASTOT,TOTSCORE,,,,,TOTAL11,,,,,ADAS_Total_Raw_score,,,,,TOTAL11
Alzheimer’s Disease Assessment Scale 13-item (ADAS13),"Alzheimer's Disease Assessment Scale-Cognitive CDISC Version (ADAS-Cog CDISC Version) Word recognition task for word 13 Trials 1, 2, 3.",NCIT:C100263,37018785.0,,,ADAS13,,,,,,TOTAL13,,,,,TOTALMOD,,,,,ADAS_Total_Raw_score,,,,,TOTAL13
Functional Activities Questionnaire (FAQ),Functional Activities Questionnaire (FAQ) Total Score.,NCIT:C111509,,,,FAQTOTAL,,,,,,FAQTOTAL,,,,,FAQTOTAL,No total score.,,,,FAQ,,faqtotal,,,FAQTOTAL
Neuropsychiatric Inventory (NPI),Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,NCIT:C112481,,,,NPITOTAL,,NPI,No total score.,,,NPITOTAL,,,,,,,,,,,,,,,
Neuropsychiatric Inventory–Questionnaire (NPI-Q),"A standardized rating scale originally developed and copyrighted by Jeffrey L. Cummings in 1994 as well as published in the journal Neurology (Cummings J.L., The Neuropsychiatric Inventory: Assessing psychopathology in dementia patients. Neurology May 1997 48:10S-16S) which is used to assess the severity of an individual's neuropathic behaviors based on a observations made by the patient's caregiver. This instrument contains 12 neuropsychiatric areas associated with dementia such as delusions, anxiety, motor disturbances, and appetite. Each behavior is evaluated only if the individual displays the behavior. For these behaviors, the frequency is assessed on a scale of 0-4 with 0 being occasionally and 4 being very frequently, the severity is assessed on a scale of 1-3 with 1 being mild and 3 being marked, and the level of distress each behavior inflicts on the caregiver is assessed on a scale of 0-5 with 0 being not distressing and 5 being extremely distressing.",NCIT:C100772,,,,NPISCORE,,,No total score.,,,,,,,,NPISCORE,No total score.,,,,,,,,,
Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS_ADL),Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (ADCS-ADL) Total score.,NCIT:C105360,4126495.0,ASSCORE,,,,ADCS_ADL,No total score.,,ADLTOT,,,,,,,,,,,,,,,,
Boston Naming Test (BNT),-,-,37396710.0,,,BNTTOTAL,Neuropsych.BNT - No Cue (Australian RAW),CERAD_B_Total,,,,BNTTOTAL,bos_nam,,,,BNTTOTAL,BOSTON,,,,BNT_Total_score,cts_bname,drtboston,,,
Hospital Anxiety and Depression Scale (HADs) (Depression),Hospital Anxiety and Depression Scale (HADS) Total score depression.,NCIT:C118112,4165145.0,,,,Neuropsych.HADS (D),,,,,,,,,,,,,,,,,,,,
Hospital Anxiety and Depression Scale (HADs) (Anxiety),Hospital Anxiety and Depression Scale (HADS) Total score depression.,NCIT:C118112,4165145.0,,,,Neuropsych.HADS (A),,,,,,,,,,,,,,,,,,,,
Rey Complex Figure Test and Recognition Trial (RCFT),-,-,4208363.0,,,,Neuropsych.RCFT Recog (RAW),,,,,,,,,REY_CC,,,,,,,,,,,
Repeatable Battery for the Assessment of Neuropsychological Status (RBANS),-,-,40486000.0,,,,,,,,,,,,rbans_total_scale,,,,,,total_scale_index_score,,,,,,
FLANKER Task,-,-,42527934.0,,,,,,,,,,,,flanker_score,,,,,,,,,,,,
Pittsburgh Sleep Quality Index (PSQI),A self-rated questionnaire which assesses sleep quality and disturbances over a one month time interval.,NCIT:C103849,42539320.0,,,,,,,,PSQITOT,No total score.,,,psqi_total,,,,,,,,,,,,
Dot Counting (DCT),-,,,,,,Neuropsych.Dots time (RAW),,,,,,,,dotcount_total,,,,,,,,,,,,
Verbal fluency tests (Phonemic) ,A test that measures the verbal fluency of an individual. This tool measures both semantic fluency and phonetic fluency.,NCIT:C114144,,,,,Neuropsych.FAS (total),,flule,“S” VERBFL R SC,VFLUTOT,,phon_fluency,,,FLULEC,,"UDSVERFC, UDSVERLC",,,,LFT_Tot_Score,,,,,
Verbal fluency tests (Semantic) Animal,A test that measures the verbal fluency of an individual. This tool measures both semantic fluency and phonetic fluency.,NCIT:C114144,,,,CATANIMSC,Neuropsych.Animals + Names (RAW),,fluse,ANIMAL FLUEN R SC,,CATANIMSC,sem_flu,,,FLUCAC,CATANIMSC,ANIMALS,,,,CFT_Tot_score,cts_animals,,,ANML10,CATANIMSC
Verbal fluency tests (Semantic) Vegetable or Fruits,A test that measures the verbal fluency of an individual. This tool measures both semantic fluency and phonetic fluency.,NCIT:C114144,,,,CATVEGESC,,,,,,,,,,,CATVEGESC,VEG,,,,,cts_fruits,,,,
Advanced Instrumental Activities of Daily Living (AIADL),A section of the Older Americans Resource Scale Multidimensional Functional Assessment Questionnaire (OMFAQ) that seeks information about a person's functional ability to conduct the complex activities of daily living that allow for independent living within a community.,NCIT:C110966,4300816.0,,,,,,No total score.,,,,,,total_score,No total score.,,,,,,,katzsum,,,,
The State-Trait Anxiety Inventory (STAI),"An instrument for measuring anxiety. It is designed to differentiate between temporary \state anxiety\ and general, long-standing \trait anxiety\. (Copyright Mind Garden, Inc.)",NCIT:C95491,,,,,,,,,,,,,stai_40_total_score,,,,,,,,,,,,
Clock Drawing Test,A test of the ability of an individual to accurately place the numbers and hands of a clock in their usual and specified positions.,NCIT:C157012,,,,CLOCKSCOR,Neuropsych.Clock Score,,cdt,CLOX1 R SC,,CLOCKSCOR,CDT,,,,CLOCKSCOR,,,,,Clock_Drawing_score,,,,,CLOCKSCOR
Logical Memory - Delayed Recall,"A subtest of the Wechsler Memory Scale, 4th Edition that assesses narrative memory under a free recall condition. A short story is presented orally. After a delay, the subject is asked to recall the story from memory.",NCIT:C120343,,,,LDELTOTAL,Neuropsych.Recall RAW (LMII),,,REC IMM R SC,MEMIMMTOT,LDELTOTAL,,,,Logic_Memory_Delayed,LDELTOTAL,,,,,LM_Delayed_recall_Tot_Score,,drttotalrecalltscore,,,
Rey Auditory Verbal Learning Test - Delayed,"A standardized rating scale modified from A. Rey in 1964 and Ceffen et al in 1994, which is used to evaluate verbal learning and memory abilities in both children and adults. The questionnaire contains 36 items and assesses overall memory performance, immediate span of memory for words, acquisition rate, interference effects, and recognition.",NCIT:C123668,,,,AVDELTOT,,,,,MEMDELTOT,AVDELTOT,,,,,AVDELTOT,,,,,,,,,,
Hachinski,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Sum all circled answers for a total score.,NCIT:C112625,4164973.0,,,HMSCORE,,Hachinski,,A102Hachinski,,HMSCORE,,,,,HMSCORE,HACHIN,,,,,,,,,HMSCOR
American National Reading Test (ANART),-,-,46236235.0,,,ANARTERR,,,,,,ANARTERR,,,,,ANARTERR,,,,,,cts_read_nart,,,,
Trail Making Test (TMT) A,"A neuropsychological test of visual attention and task switching that requires a subject to connect a sequence of 25 consecutive targets. It provides an easy to administer and reliable assessment of attention, sequencing, cognition, visual search, and motor function.",NCIT:C92205,4165596.0,,,TRAASCOR,,,triagre,TRAIL MAK A secs,,TRAASCOR,TMT_A,,,TMTAC,TRAASCOR,TRAILA,,,,TMT_Score_A,,partatest,,,TRAASCOR
Trail Making Test (TMT) B,Huntington's Disease Cognitive Assessment Battery (HD-CAB) Trail Making Test-B key variable for composite score: Time to completion (sec) of TMT Part B with upper time limit of 240 seconds (reverse scored).,NCIT:C166336,4165596.0,,,TRABSCOR,,,tribgre,TRAIL MAK B secs,,TRABSCOR,TMT_B,,,TMTBC,TRABSCOR,TRAILB,,,,TMT_Score_B,,partbtest,,,TRABSCOR
Digit Span Test (Forward),A subtest of the Wechsler Adult Intelligence Scale - Fourth Edition. The subject is read a sequence of numbers and recalls the numbers in the same order.,NCIT:C120516,4150719.0,,,DSPANFOR,Neuropsych.Total fwd + bk,,digspgre,DIGFOR3,,,,,,,DSPANFOR,DIGIF,,,,DSF_Tot_score,cts_df,,,,DSPANFOR
Digit Span Test (Backward),A subtest of the Wechsler Adult Intelligence Scale - Fourth Edition. The subject is read a sequence of numbers and recalls the numbers in reverse order.,NCIT:C120517,4150719.0,,,DSPANBAC,Neuropsych.Total fwd + bk,,digit_BW,DIGBACK3,,,,,,,DSPANBAC,DIGIB,,,,DSB_Tot_score,cts_db,,,,DSPANBAC
Free and Cued Selective Reminding Test,"A derivative of the Buschke memory test that controls attention and acquisition, by providing category cues in the learning process.",-,,,,,,,,,,,,,,,,,,,,,,,,,
Landscape Test,A test to assess the visual memory.,-,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Diagnostic Aphasia Examination Auditory Subtest,A subtest of the Boston Diagnostic Aphasia Examination to to evaluate auditory perception.,NCI:C4275189,37396678.0,,,,,,,,,,,,,,,,,,,,,,,,
Western Aphasia Battery Ideomotor Praxis Subtest,An ideomotor praxis subtest from the Western Aphasia Battery which is a diagnostic tool used to assess the linguistic skills and main nonlinguistic skills of adults with aphasia.,NCI:CL515917,46286215.0,,,,,,,,,,,,,,,,,,,,,,,,
Consortium to Establish a Registry for Alzheimer's Disease,A constructional praxis subtest from the Consortium to Establish a Registry for Alzheimer's Disease.,-,,,,,,,,,,,,,,,,,,,,,ceradcs,,,,
Incomplete letters and number location subtests of the Visual Object and Space Perception (VOSP),"Subtests of the Visual Object and Space Perception battery to evaluatee visuospatial function, while minimizing the interference of other cognitive functions.",-,,,,,,,,,,,,,,,,,,,,,,,,,
Epworth Sleepiness Scale,,NCIT:C103517,46273534.0,,,,,,,,,,,,,,,,,,,,,,,,
Depression,A melancholy feeling of sadness and despair.,MONDO:0002050,45878997.0,,,BCDEPRES,Medical History.Depression,Geriatric_Depression,hach10,H018Clinical depression,DEPRESSIONDX,BCDEPRES,Psych_side_diag,Depression,medical_history_term,DEP,BCDEPRES,DEP2YRS,,,past_depression,,r_depres,,,,BCDEPRES
Stroke,A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.,MONDO:0005098,36210384.0,,,BCSTROKE,Medical History.Stroke,,hach12,H014CVA,STROKEDX,BCSTROKE,,Stroke,medical_history_term,,BCSTROKE,CBSTROKE,,,,,stroke_bl,,,,BCSTROKE
Parkinson’s Disease,"A progressive degenerative disorder of the central nervous system characterized by loss of dopamine producing neurons in the substantia nigra and the presence of Lewy bodies in the substantia nigra and locus coeruleus. Signs and symptoms include tremor which is most pronounced during rest, muscle rigidity, slowing of the voluntary movements, a tendency to fall back, and a mask-like facial expression.",MONDO:0005180,381270.0,,,DXPARK,Demographic.Ever been diagnosed with Parkinsons Disease,,,H022Parkinsons,PDDX,DXPARK,,,high_level_group_term,,DXPARK,PD,,,,,parkinsonism_yn,,,,DXPARK
Diabetes,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,MONDO:0005015,45879799.0,,,,Medical History.Diabetes,,diab,,"DIABETES1DX, DIABETES2DX",MHSDIABET,,,medical_history_term,,,DIABETES,,,treatment_diabetes,,diabetes_sr_rx_ever,hxdiabetes,,,
Anxiety,"A feeling of worry, nervousness, or unease about something with an uncertain outcome.",MONDO:0011918,441542.0,,,,Medical History.Anxiety,,ans,ANXIETY,,GADC,Psych_side_diag,,medical_history_term,,NPIE,ANXIETY,,,,,,,,,
Obesity,A disorder involving an excessive amount of body fat.,MONDO:0011122,433736.0,,,,,,,,,,,Obesity,medical_history_term,,,,,,,,,,,,
Bipolar,"A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.",MONDO:0004985,4128935.0,,,EXPSYCH,Demographic.Ever been diagnosed with Bipolar Disorder,,,A031Anxiety,,PABIPOLAR,,,medical_history_term,,EXPSYCH,BIPOLAR,,,,,,,,,EXPSYCH
Schizophrenia,"A major psychotic disorder characterized by abnormalities in the perception or expression of reality. It affects the cognitive and psychomotor functions. Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.",MONDO:0005090,435783.0,,,EXPSYCH,Demographic.Ever been diagnosed with Schizophrenia or Schizoaffective Disorder,,,,,PAFUSCHIZO,Psych_side_diag,,high_level_group_term,,EXPSYCH,SCHIZ,,,,,,,,,EXPSYCH
Cancer,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",MONDO:0004992,45877275.0,,,,Medical History.Cancer,,tum,,,MHSCANCER,,,medical_history_term,,,CANCER,,,past_cancer,,cancer_ever,,,,
Thyroid,,-,42530171.0,,,AXT117,Medical History.Thyroid/Parathyroid Disease,,tiroid,H083TSH,,MHSPITUIT,Comorbidities,,high_level_term,,,THYROID,,,tsh_value,,thyroid_bl,,,,
Head Injury ,"Damage inflicted on the head as the direct or indirect result of an external force, with or without disruption of structural continuity.",EFO:0009505,36311163.0,,,,Medical History.Serious Head Injury,,tracra1,H012Head injury,HEADINJ10Y,TBFUPEN,,,medical_history_term,,MH3HEAD,NPPDXI,,,,,headinjrloc_bl,,,,
Vision,"Tests to assess the ability to focus on and discern objects, colors, depth, etc.",NCIT:C156778,45613408.0,,,BCVISION,Medical History.Visual Defects,,vista,,VISIONPRB,BCVISION,,,eyes_results,,BCVISION,VISION,,,,,,,,,BCVISION
Chest Pain,-,HP:0100749,77670.0,,,BCCHEST,,,angina,,,BCCHEST,,,chest_results,,BCCHEST,,,,,,,angina,,,BCCHEST
Hearing,"The auditory faculty, the perception of sound by the ear.",NCIT:C16670,46237286.0,,,,,,udit,,HEARINGPRB,MHSHEAD,,,ears_nose_throat_results,,,HEARING,,,diagnosed_impairment,,,,,,
Vomiting,Forceful ejection of the contents of the stomach through the mouth.,NCIT:C3442,441408.0,,,BCVOMIT,,,,,,BCVOMIT,,,,,AXVOMIT,,,,,,,,,,
Sweating,"A watery secretion by the sweat glands that is primarily composed of salt, urea and minerals.",NCIT:C36172,4188566.0,,,BCSWEATN,,,MSA_C8,,,BCSWEATN,,,,,AXSWEATN,,,,,,,,,,BCSWEATN
Headache,"Pain in various parts of the head, not confined to the area of distribution of any nerve.",NCIT:C34661,378253.0,,,BCHDACHE,,,,,,BCHDACHE,,,,,AXHDACHE,,,,,,,,,,BCHDACHE
Heart Condition,A hollow organ located slightly to the left of the middle portion of the chest. It is composed of muscle and it is divided by a septum into two sides: the right side which receives de-oxygenated blood from the body and the left side which sends newly oxygenated blood to the body. Each side is composed of two chambers: the atrium (receiving blood) and ventricle (ejecting blood).,NCIT:C12727,45884704.0,PXCARD,,PXHEART,,,cuore,,,PXHEART,,,heart_abnormal_findings,,PXHEART,CVCHF,,,,,heart_bl,afib,,,PXHEART
Heart Rate,"The number of heartbeats per unit of time, usually expressed as beats per minute.",NCIT:C49677,4239408.0,,,PREHEART,Vital Signs.Heart rate,,,,,,,,heart_results,,,HRATE,,,,,,,,,
"Ears, Nose and Throat",-,MONDO:0000587,4178545.0,PXHEADEY,,PXHEADEY,,,nasgol,,,PXHEADEY,,,ears_nose_throat_results,,PXHEADEY,,,,,,,,,,PXHEADEY
Dyslipidemia,"A lipoprotein metabolism disorder characterized by decreased levels of high-density lipoproteins, or elevated levels of plasma cholesterol, low-density lipoproteins and/or triglycerides.",NCIT:C80385,4159131.0,,,,,,,,,,,,medical_history_term,,,,,,,,,,,,
Traumatic Brain Injury,Trauma to the brain.,NCIT:C50440,4132546.0,,,,,,,,,,,,medical_history_term,,,TBI,,,,,,,,,
Hypoacusis,"Partial or complete loss of the ability to detect or understand sounds resulting from damage to the outer, middle, or inner ear structures. Causes include exposure to loud noise, ear infections, injuries to the Partial or complete loss of the ability to detect or understand sounds resulting from damage to the outer, middle, or inner ear structures. Causes include exposure to loud noise, ear infections, injuries to the ear, genetic, and congenital disorders.",NCIT:C50576,,,,,,,,,,,,,ears_nose_throat_results,,,,,,,,,,,,
pTau in CSF,,NCIT:C84812,37027027.0,,,PTAU,CSF.pTAU181_INNX_MELB,,CSF_P-Tau,,PTAUPGML,PTAU,CSF_P-Tau,Local_PTAU,ptau_result,CSF_P-Tau,CSF PTAU,CSFPTAU,p_tau_csf,CSF_P-Tau,ptau,CSF_P-Tau,,,CSF_P-Tau,CSF_P-Tau,
tTau in CSF,"Is a quantification of total tau protein, a biomarker for Alzheimer's disease.",EFO:0004760,37393375.0,,,TAU,CSF.Tau_INNX_MELB,,CSF_T-Tau,,TOTTAUPGML,TAU,CSF_T-Tau,Local_TTAU,ttau_result,CSF_T-Tau,CSF TAU,CSFTTAU,t_tau_csf,CSF_T-Tau,tau,CSF_T-Tau,,,CSF_T-Tau,CSF_T-Tau,
