"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy","epoch","f1-score","precision","recall","train_loss","trainer/global_step","val_loss"
"Classifier_bioBERT_V1_dataset","finished","Trainig for 150 epochs","pwegner","","2022-11-23T22:11:21.000Z","2995","","0.7689345314505777","149","","","","0.014234382659196854","34049","0.029499046504497528"
"Classifier_bioBERT_V1_dataset","finished","Train ing for 50 epochs","pwegner","","2022-11-23T21:49:19.000Z","1004","","0.6405648267008985","49","","","","0.019645152613520626","11349","0.03328254818916321"
"Classifier_bioBERT_V1_dataset","finished","Monitor accuracy","pwegner","","2022-11-23T21:15:45.000Z","838","","0.4492939666238768","29","","","","0.02504521980881691","6809","0.03421202674508095"
"bioBERT_V2_dataset","finished","-","pwegner","","2022-11-09T12:31:53.000Z","1015","","","8","0.9820971867007672","0.9808429118773946","0.9833546734955184","0.02754465490579605","4103","0.07664571702480316"
"bioBERT_V1_dataset","finished","-","pwegner","","2022-11-09T10:49:20.000Z","1244","","","8","0.9891650732950924","0.9847715736040608","0.9935979513444302","0.0002427859726594761","4103","0.0562983900308609"
